index,id-number,type,description,source
ilc.mdes13a,262,Socioeconomics,"Persons who cannot afford a regular use of public transport by age, sex and income group",Eurostat
ilc.mdes13b,263,Socioeconomics,Persons who cannot afford a regular use of public transport by employment status and income quintile. Only wstatus = POP,Eurostat
ilc.mdho01,264,Socioeconomics,"Total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor - EU-SILC survey",Eurostat
ilc.mdho02,265,Socioeconomics,"Total population having neither a bath, nor a shower in their dwelling - EU-SILC survey",Eurostat
ilc.mdho03,266,Socioeconomics,Total population not having indoor flushing toilet for the sole use of their household - EU-SILC survey,Eurostat
ilc.mdho04,267,Socioeconomics,Total population considering their dwelling as too dark - EU-SILC survey,Eurostat
ilc.mdho05,268,Socioeconomics,"Total population having neither a bath, nor a shower, nor indoor flushing toilet in their household - EU-SILC survey",Eurostat
ilc.mdho06a,269,Socioeconomics,"Severe housing deprivation rate by age, sex and poverty status - EU-SILC survey",Eurostat
ilc.mdho06q,270,Socioeconomics,Severe housing deprivation rate by income quintile - EU-SILC survey,Eurostat
ilc.mdho07,271,Socioeconomics,Persons who cannot afford to replace worn-out furniture by income group and type of household,Eurostat
ilc.peps01n,272,Socioeconomics,Persons at risk of poverty or social exclusion by age and sex. Unit is Percentage %,Eurostat
ilc.peps03n,273,Socioeconomics,Persons at risk of poverty or social exclusion by income quantile and household composition,Eurostat
ilc.peps07n,274,Socioeconomics,Persons at risk of poverty or social exclusion by tenure status,Eurostat
ilc.pnp10,275,Socioeconomics,Gender differences in the relative median income ratio (65+) - EU-SILC survey,Eurostat
ilc.pnp11,276,Socioeconomics,Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits) - EU-SILC survey,Eurostat
ilc.pnp2,277,Socioeconomics,Relative median income ratio (65+) - EU-SILC and ECHP surveys,Eurostat
ilc.pnp3,278,Socioeconomics,Aggregate replacement ratio for pensions (excluding other social benefits) by sex - EU-SILC survey,Eurostat
ilc.pns2,279,Socioeconomics,Relative median income ratio (60+) - EU-SILC survey,Eurostat
ilc.pw06,280,Socioeconomics,"Persons having someone to rely on in case of need by age, sex and educational attainment level. Only age = Y_GE16",Eurostat
ilc.pw07,281,Socioeconomics,"Persons having someone to rely on in case of need by income quintile, degree of urbanisation and household type",Eurostat
ilc.scp15,282,Socioeconomics,"Persons who have someone to ask for help by sex, age and educational attainment level. Only age = Y_GE16",Eurostat
ilc.scp16,283,Socioeconomics,"Persons who have someone to ask for help by income quintile, household type and degree of urbanisation",Eurostat
ilc.scp17,284,Socioeconomics,"Persons who have someone to discuss personal matters by sex, age and educational attainment level. Only age = Y_GE16",Eurostat
ilc.scp18,285,Socioeconomics,"Persons who have someone to discuss personal matters by income quintile, household type and degree of urbanisation",Eurostat
ilc.sip8,286,Socioeconomics,"Material deprivation rate for the 'Economic strain' and 'Durables' dimensions, by number of item of deprivation - EU-SILC survey. Unit is Percentage %",Eurostat
ilc.sis4,287,Socioeconomics,Mean number of deprivation items among the deprived - Economic strain and durables dimension - EU-SILC survey,Eurostat
isoc.ci.cm.h,288,Socioeconomics,Households - availability of computers,Eurostat
isoc.ci.in.h,289,Socioeconomics,Households -  level of internet access,Eurostat
isoc.r.cux.i,290,Socioeconomics,Individuals who have never used a computer,Eurostat
isoc.r.iacc.h,291,Socioeconomics,Households with access to the internet at home,Eurostat
isoc.ski.itsex,292,Socioeconomics,Employed persons with ICT education by sex. Unit is Percentage %,Eurostat
IT.CEL.SETS.P2,293,Socioeconomics,Mobile cellular subscriptions (per 100 people),World Data Bank
IW.DME,294,Socioeconomics,"Income and Wealth, Difficulty making ends meet",Eurostat
IW.HI,295,Socioeconomics,"Income and Wealth, Household income",Eurostat
IW.HW,296,Socioeconomics,"Income and Wealth, Household wealth",OECD How's Life
IW.RIP,297,Socioeconomics,"Income and Wealth, Relative income poverty",Eurostat
lfso.06otbnagps,298,Socioeconomics,Average age at which not employed persons started receiving a retirement pension - by granting of other individual benefits and sex,Eurostat
lfso.06otbnyrsp,299,Socioeconomics,"Not employed persons, average number of years spent working - by granting of other individual benefits and sex",Eurostat
lfso.06reasagps,300,Socioeconomics,Average age at which not employed persons started receiving a retirement pension - by sex and main reason for retirement or early retirement,Eurostat
lfso.06stafagps,301,Socioeconomics,Average age at which not employed persons started receiving a retirement pension - by sex and main labour status just after leaving last job,Eurostat
lfso.16elvncom,302,Socioeconomics,"Early leavers from education and training who started but never completed upper secondary education by sex, age and reason for not completing",Eurostat
lfso.16elvnsta,303,Socioeconomics,"Early leavers from education and training who never started upper secondary education by sex, age and reason for not starting",Eurostat
lfst.r.aredcobu,304,Socioeconomics,"Activity rates by sex, age, educational attainment level, country of birth and degree of urbanisation. Only age = Y15-64",Eurostat
lfst.r.arednu,305,Socioeconomics,"Activity rates by sex, age, educational attainment level, citizenship and degree of urbanisation. Only age = Y15-64",Eurostat
lfst.r.egadu,306,Socioeconomics,"Employment by sex, age, job tenure and degree of urbanisation. Only age = Y15-64. Unit is Percentage %",Eurostat
lfst.r.eredcobu,307,Socioeconomics,"Employment rates by sex, age, educational attainment level, country of birth and degree of urbanisation. Only age = Y15-64",Eurostat
lfst.r.erednu,308,Socioeconomics,"Employment rates by sex, age, educational attainment level, citizenship and degree of urbanisation. Only age = Y15-64",Eurostat
lfst.r.ergau,309,Socioeconomics,"Employment rates by sex, age and degree of urbanisation (%). Only age = Y15-64",Eurostat
lfst.r.lfur2gacu,310,Socioeconomics,"Unemployment rates by sex, age, country of birth and degree of urbanisation. Only age = Y15-64",Eurostat
lfst.r.lfur2ganu,311,Socioeconomics,"Unemployment rates by sex, age, citizenship and degree of urbanisation. Only age = Y15-64",Eurostat
lfst.r.urgau,312,Socioeconomics,"Unemployment rates by sex, age and degree of urbanisation (%). Only age = Y15-64",Eurostat
NE.CON.PRVT.PC.KD,313,Socioeconomics,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),World Data Bank
NE.CON.PRVT.PC.KD.ZG,314,Socioeconomics,Households and NPISHs Final consumption expenditure per capita growth (annual %),World Data Bank
NE.CON.PRVT.ZS,315,Socioeconomics,Households and NPISHs final consumption expenditure (% of GDP),World Data Bank
nrg.ind.ahbtc,316,Socioeconomics,Heat pumps - ambient heat captured by technology and climate,Eurostat
nrg.ind.id,317,Socioeconomics,Energy imports dependency,Eurostat
NY.ADJ.AEDU.GN.ZS,318,Socioeconomics,Adjusted savings: education expenditure (% of GNI),World Data Bank
NY.GNP.PCAP.PP.KD,319,Socioeconomics,"GNI per capita, PPP (constant 2017 international $)",World Data Bank
NY.GNS.ICTR.GN.ZS,320,Socioeconomics,Gross savings (% of GNI),World Data Bank
NY.GNS.ICTR.ZS,321,Socioeconomics,Gross savings (% of GDP),World Data Bank
SCO.SS,322,Socioeconomics,"Social connections, Social support",OECD How's Life
SE.ENR.PRIM.FM.ZS,323,Socioeconomics,"School enrollment, primary (gross), gender parity index (GPI)",World Data Bank
SE.ENR.PRSC.FM.ZS,324,Socioeconomics,"School enrollment, primary and secondary (gross), gender parity index (GPI)",World Data Bank
SE.ENR.SECO.FM.ZS,325,Socioeconomics,"School enrollment, secondary (gross), gender parity index (GPI)",World Data Bank
SE.ENR.TERT.FM.ZS,326,Socioeconomics,"School enrollment, tertiary (gross), gender parity index (GPI)",World Data Bank
SE.PRM.AGES,327,Socioeconomics,Primary school starting age (years),World Data Bank
SE.PRM.CMPT.FE.ZS,328,Socioeconomics,"Primary completion rate, female (% of relevant age group)",World Data Bank
SE.PRM.CMPT.MA.ZS,329,Socioeconomics,"Primary completion rate, male (% of relevant age group)",World Data Bank
SE.PRM.CMPT.ZS,330,Socioeconomics,"Primary completion rate, total (% of relevant age group)",World Data Bank
SE.PRM.DURS,331,Socioeconomics,"Primary education, duration (years)",World Data Bank
SE.PRM.ENRL.FE.ZS,332,Socioeconomics,"Primary education, pupils (% female)",World Data Bank
SE.PRM.ENRL.TC.ZS,333,Socioeconomics,"Pupil-teacher ratio, primary",World Data Bank
SE.PRM.ENRR,334,Socioeconomics,"School enrollment, primary (% gross)",World Data Bank
SE.PRM.ENRR.FE,335,Socioeconomics,"School enrollment, primary, female (% gross)",World Data Bank
SE.PRM.ENRR.MA,336,Socioeconomics,"School enrollment, primary, male (% gross)",World Data Bank
SE.PRM.GINT.FE.ZS,337,Socioeconomics,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",World Data Bank
SE.PRM.GINT.MA.ZS,338,Socioeconomics,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",World Data Bank
SE.PRM.GINT.ZS,339,Socioeconomics,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",World Data Bank
SE.PRM.NENR,340,Socioeconomics,"School enrollment, primary (% net)",World Data Bank
SE.PRM.OENR.FE.ZS,341,Socioeconomics,"Over-age students, primary, female (% of female enrollment)",World Data Bank
SE.PRM.OENR.MA.ZS,342,Socioeconomics,"Over-age students, primary, male (% of male enrollment)",World Data Bank
SE.PRM.OENR.ZS,343,Socioeconomics,"Over-age students, primary (% of enrollment)",World Data Bank
SE.PRM.PRIV.ZS,344,Socioeconomics,"School enrollment, primary, private (% of total primary)",World Data Bank
SE.PRM.REPT.ZS,345,Socioeconomics,"Repeaters, primary, total (% of total enrollment)",World Data Bank
SE.PRM.TCHR.FE.ZS,346,Socioeconomics,"Primary education, teachers (% female)",World Data Bank
SE.PRM.TENR,347,Socioeconomics,"Adjusted net enrollment rate, primary (% of primary school age children)",World Data Bank
SE.PRM.UNER.ZS,348,Socioeconomics,Children out of school (% of primary school age),World Data Bank
SE.SEC.AGES,349,Socioeconomics,Lower secondary school starting age (years),World Data Bank
SE.SEC.DURS,350,Socioeconomics,"Secondary education, duration (years)",World Data Bank
SE.SEC.ENRL.FE.ZS,351,Socioeconomics,"Secondary education, pupils (% female)",World Data Bank
SE.SEC.ENRL.GC.FE.ZS,352,Socioeconomics,"Secondary education, general pupils (% female)",World Data Bank
SE.SEC.ENRL.TC.ZS,353,Socioeconomics,"Pupil-teacher ratio, secondary",World Data Bank
SE.SEC.ENRL.VO.FE.ZS,354,Socioeconomics,"Secondary education, vocational pupils (% female)",World Data Bank
SE.SEC.ENRR,355,Socioeconomics,"School enrollment, secondary (% gross)",World Data Bank
SE.SEC.ENRR.FE,356,Socioeconomics,"School enrollment, secondary, female (% gross)",World Data Bank
SE.SEC.ENRR.MA,357,Socioeconomics,"School enrollment, secondary, male (% gross)",World Data Bank
SE.SEC.NENR,358,Socioeconomics,"School enrollment, secondary (% net)",World Data Bank
SE.SEC.PRIV.ZS,359,Socioeconomics,"School enrollment, secondary, private (% of total secondary)",World Data Bank
SE.SEC.TCHR.FE.ZS,360,Socioeconomics,"Secondary education, teachers (% female)",World Data Bank
SE.SEC.UNER.LO.ZS,361,Socioeconomics,Adolescents out of school (% of lower secondary school age),World Data Bank
SE.TER.ENRL.TC.ZS,362,Socioeconomics,"Pupil-teacher ratio, tertiary",World Data Bank
SE.TER.ENRR,363,Socioeconomics,"School enrollment, tertiary (% gross)",World Data Bank
SE.TER.ENRR.FE,364,Socioeconomics,"School enrollment, tertiary, female (% gross)",World Data Bank
SE.TER.ENRR.MA,365,Socioeconomics,"School enrollment, tertiary, male (% gross)",World Data Bank
SE.TER.TCHR.FE.ZS,366,Socioeconomics,"Tertiary education, academic staff (% female)",World Data Bank
SH.H2O.BASW.RU.ZS,367,Socioeconomics,"People using at least basic drinking water services, rural (% of rural population)",World Data Bank
SH.H2O.BASW.UR.ZS,368,Socioeconomics,"People using at least basic drinking water services, urban (% of urban population)",World Data Bank
SH.H2O.BASW.ZS,369,Socioeconomics,People using at least basic drinking water services (% of population),World Data Bank
SH.H2O.SMDW.ZS,370,Socioeconomics,People using safely managed drinking water services (% of population),World Data Bank
SI.DST.02ND.20,371,Socioeconomics,Income share held by second 20%,World Data Bank
SI.DST.03RD.20,372,Socioeconomics,Income share held by third 20%,World Data Bank
SI.DST.04TH.20,373,Socioeconomics,Income share held by fourth 20%,World Data Bank
SI.DST.05TH.20,374,Socioeconomics,Income share held by highest 20%,World Data Bank
SI.DST.10TH.10,375,Socioeconomics,Income share held by highest 10%,World Data Bank
SI.DST.50MD,376,Socioeconomics,Proportion of people living below 50 percent of median income (%),OECD How's Life
SI.DST.FRST.10,377,Socioeconomics,Income share held by lowest 10%,World Data Bank
SI.DST.FRST.20,378,Socioeconomics,Income share held by lowest 20%,World Data Bank
SI.POV.DDAY,379,Socioeconomics,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),World Data Bank
SI.POV.GAPS,380,Socioeconomics,Poverty gap at $1.90 a day (2011 PPP) (%),World Data Bank
SI.POV.GINI,381,Socioeconomics,Gini index (World Bank estimate),World Data Bank
SI.POV.LMIC,382,Socioeconomics,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),OECD How's Life
SI.POV.LMIC.GP,383,Socioeconomics,Poverty gap at $3.20 a day (2011 PPP) (%),World Data Bank
SI.POV.UMIC,384,Socioeconomics,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),OECD How's Life
SI.POV.UMIC.GP,385,Socioeconomics,Poverty gap at $5.50 a day (2011 PPP) (%),World Data Bank
SL.FAM.WORK.FE.ZS,386,Socioeconomics,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",World Data Bank
SL.FAM.WORK.MA.ZS,387,Socioeconomics,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",World Data Bank
SL.FAM.WORK.ZS,388,Socioeconomics,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",World Data Bank
spr.pns.ben,389,Socioeconomics,Pensions beneficiaries at 31st December,Eurostat
sprt.pcs.hbs,390,Socioeconomics,Mean consumption expenditure of private households on sporting goods and services by COICOP consumption purpose,Eurostat
WJQ.E,391,Socioeconomics,"Work and Job Quality, Earnings",OECD How's Life
AG.LND.AGRI.ZS,392,Environment,Agricultural land (% of land area),World Data Bank
AG.LND.ARBL.HA.PC,393,Environment,Arable land (hectares per person),World Data Bank
AG.LND.ARBL.ZS,394,Environment,Arable land (% of land area),World Data Bank
AG.LND.CROP.ZS,395,Environment,Permanent cropland (% of land area),World Data Bank
AG.LND.FRST.ZS,396,Environment,Forest area (% of land area),World Data Bank
EG.CFT.ACCS.ZS,397,Environment,Access to clean fuels and technologies for cooking (% of population),World Data Bank
EG.ELC.COAL.ZS,398,Environment,Electricity production from coal sources (% of total),World Data Bank
EG.ELC.FOSL.ZS,399,Environment,"Electricity production from oil, gas and coal sources (% of total)",World Data Bank
EG.ELC.HYRO.ZS,400,Environment,Electricity production from hydroelectric sources (% of total),World Data Bank
EG.ELC.LOSS.ZS,401,Environment,Electric power transmission and distribution losses (% of output),World Data Bank
EG.ELC.NGAS.ZS,402,Environment,Electricity production from natural gas sources (% of total),World Data Bank
EG.ELC.NUCL.ZS,403,Environment,Electricity production from nuclear sources (% of total),World Data Bank
EG.ELC.PETR.ZS,404,Environment,Electricity production from oil sources (% of total),World Data Bank
EG.ELC.RNEW.ZS,405,Environment,Renewable electricity output (% of total electricity output),World Data Bank
EG.ELC.RNWX.ZS,406,Environment,"Electricity production from renewable sources, excluding hydroelectric (% of total)",World Data Bank
EG.FEC.RNEW.ZS,407,Environment,Renewable energy consumption (% of total final energy consumption),World Data Bank
EG.USE.CRNW.ZS,408,Environment,Combustible renewables and waste (% of total energy),World Data Bank
EN.ATM.CO2E.EG.ZS,409,Environment,CO2 intensity (kg per kg of oil equivalent energy use),World Data Bank
EN.ATM.CO2E.GF.ZS,410,Environment,CO2 emissions from gaseous fuel consumption (% of total),World Data Bank
EN.ATM.CO2E.LF.ZS,411,Environment,CO2 emissions from liquid fuel consumption (% of total),World Data Bank
EN.ATM.CO2E.PP.GD,412,Environment,CO2 emissions (kg per PPP $ of GDP),World Data Bank
EN.ATM.CO2E.SF.ZS,413,Environment,CO2 emissions from solid fuel consumption (% of total),World Data Bank
EN.ATM.GHGO.ZG,414,Environment,Other greenhouse gas emissions (% change from 1990),World Data Bank
EN.ATM.GHGT.KT.CE,415,Environment,Total greenhouse gas emissions (kt of CO2 equivalent),World Data Bank
EN.ATM.GHGT.ZG,416,Environment,Total greenhouse gas emissions (% change from 1990),World Data Bank
EN.ATM.METH.AG.KT.CE,417,Environment,Agricultural methane emissions (thousand metric tons of CO2 equivalent),World Data Bank
EN.ATM.METH.AG.ZS,418,Environment,Agricultural methane emissions (% of total),World Data Bank
EN.ATM.METH.EG.KT.CE,419,Environment,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),World Data Bank
EN.ATM.METH.EG.ZS,420,Environment,Energy related methane emissions (% of total),World Data Bank
EN.ATM.METH.KT.CE,421,Environment,Methane emissions (kt of CO2 equivalent),World Data Bank
EN.ATM.METH.ZG,422,Environment,Methane emissions (% change from 1990),World Data Bank
EN.ATM.NOXE.AG.KT.CE,423,Environment,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),World Data Bank
EN.ATM.NOXE.AG.ZS,424,Environment,Agricultural nitrous oxide emissions (% of total),World Data Bank
EN.ATM.NOXE.EG.KT.CE,425,Environment,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),World Data Bank
EN.ATM.NOXE.EG.ZS,426,Environment,Nitrous oxide emissions in energy sector (% of total),World Data Bank
EN.ATM.NOXE.KT.CE,427,Environment,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),World Data Bank
EN.ATM.NOXE.ZG,428,Environment,Nitrous oxide emissions (% change from 1990),World Data Bank
EN.CO2.BLDG.ZS,429,Environment,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),World Data Bank
EN.CO2.ETOT.ZS,430,Environment,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",World Data Bank
EN.CO2.MANF.ZS,431,Environment,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),World Data Bank
EN.CO2.OTHX.ZS,432,Environment,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",World Data Bank
EN.CO2.TRAN.ZS,433,Environment,CO2 emissions from transport (% of total fuel combustion),World Data Bank
EN.POP.DNST,434,Environment,Population density (people per sq. km of land area),World Data Bank
env.ac.cur,435,Environment,Circular material use rate,Eurostat
env.ww.con,436,Environment,Population connected to wastewater treatment plants. Unit is Percentage %,Eurostat
EQ.AP,437,Environment,"Environmental quality, Air pollution",OECD How's Life
ilc.mddw02,438,Environment,"Pollution, grime or other environmental problems - EU-SILC survey",Eurostat
nrg.ind.ffgae,439,Environment,Share of fossil fuels in gross available energy,Eurostat
nrg.ind.ured,440,Environment,Use of renewables for electricity - details,Eurostat
nrg.ind.urhcd,441,Environment,Use of renewables for heating and cooling - details,Eurostat
nrg.inf.stcs,442,Environment,Solar thermal collectors' surface,Eurostat
NY.ADJ.DCO2.GN.ZS,443,Environment,Adjusted savings: carbon dioxide damage (% of GNI),World Data Bank
NY.ADJ.DFOR.GN.ZS,444,Environment,Adjusted savings: net forest depletion (% of GNI),World Data Bank
NY.ADJ.DMIN.GN.ZS,445,Environment,Adjusted savings: mineral depletion (% of GNI),World Data Bank
NY.ADJ.DNGY.GN.ZS,446,Environment,Adjusted savings: energy depletion (% of GNI),World Data Bank
NY.ADJ.DPEM.GN.ZS,447,Environment,Adjusted savings: particulate emission damage (% of GNI),World Data Bank
NY.ADJ.DRES.GN.ZS,448,Environment,Adjusted savings: natural resources depletion (% of GNI),World Data Bank
AG.CON.FERT.ZS,449,,Fertilizer consumption (kilograms per hectare of arable land),World Data Bank
AG.LND.AGRI.K2,450,,Agricultural land (sq. km),World Data Bank
AG.LND.ARBL.HA,451,,Arable land (hectares),World Data Bank
AG.LND.CREL.HA,452,,Land under cereal production (hectares),World Data Bank
AG.LND.FRST.K2,453,,Forest area (sq. km),World Data Bank
AG.LND.TOTL.K2,454,,Land area (sq. km),World Data Bank
AG.PRD.CREL.MT,455,,Cereal production (metric tons),World Data Bank
AG.PRD.CROP.XD,456,,Crop production index (2014-2016 = 100),World Data Bank
AG.PRD.FOOD.XD,457,,Food production index (2014-2016 = 100),World Data Bank
AG.PRD.LVSK.XD,458,,Livestock production index (2014-2016 = 100),World Data Bank
AG.SRF.TOTL.K2,459,,Surface area (sq. km),World Data Bank
AG.YLD.CREL.KG,460,,Cereal yield (kg per hectare),World Data Bank
BG.GSR.NFSV.GD.ZS,461,,Trade in services (% of GDP),World Data Bank
BM.GSR.CMCP.ZS,462,,"Communications, computer, etc. (% of service imports, BoP)",World Data Bank
BM.GSR.FCTY.CD,463,,"Primary income payments (BoP, current US$)",World Data Bank
BM.GSR.GNFS.CD,464,,"Imports of goods and services (BoP, current US$)",World Data Bank
BM.GSR.INSF.ZS,465,,"Insurance and financial services (% of service imports, BoP)",World Data Bank
BM.GSR.MRCH.CD,466,,"Goods imports (BoP, current US$)",World Data Bank
BM.GSR.NFSV.CD,467,,"Service imports (BoP, current US$)",World Data Bank
BM.GSR.ROYL.CD,468,,"Charges for the use of intellectual property, payments (BoP, current US$)",World Data Bank
BM.GSR.TOTL.CD,469,,"Imports of goods, services and primary income (BoP, current US$)",World Data Bank
BM.GSR.TRAN.ZS,470,,"Transport services (% of service imports, BoP)",World Data Bank
BM.GSR.TRVL.ZS,471,,"Travel services (% of service imports, BoP)",World Data Bank
BM.KLT.DINV.CD.WD,472,,"Foreign direct investment, net outflows (BoP, current US$)",World Data Bank
BM.KLT.DINV.WD.GD.ZS,473,,"Foreign direct investment, net outflows (% of GDP)",World Data Bank
BM.TRF.PRVT.CD,474,,"Secondary income, other sectors, payments (BoP, current US$)",World Data Bank
BM.TRF.PWKR.CD.DT,475,,"Personal remittances, paid (current US$)",World Data Bank
BN.CAB.XOKA.CD,476,,"Current account balance (BoP, current US$)",World Data Bank
BN.CAB.XOKA.GD.ZS,477,,Current account balance (% of GDP),World Data Bank
BN.FIN.TOTL.CD,478,,"Net financial account (BoP, current US$)",World Data Bank
BN.GSR.FCTY.CD,479,,"Net primary income (BoP, current US$)",World Data Bank
BN.GSR.GNFS.CD,480,,"Net trade in goods and services (BoP, current US$)",World Data Bank
BN.GSR.MRCH.CD,481,,"Net trade in goods (BoP, current US$)",World Data Bank
BN.KAC.EOMS.CD,482,,"Net errors and omissions (BoP, current US$)",World Data Bank
BN.KLT.DINV.CD,483,,"Foreign direct investment, net (BoP, current US$)",World Data Bank
BN.KLT.PTXL.CD,484,,"Portfolio investment, net (BoP, current US$)",World Data Bank
BN.RES.INCL.CD,485,,"Reserves and related items (BoP, current US$)",World Data Bank
BN.TRF.CURR.CD,486,,"Net secondary income (BoP, current US$)",World Data Bank
BN.TRF.KOGT.CD,487,,"Net capital account (BoP, current US$)",World Data Bank
BX.GSR.CCIS.CD,488,,"ICT service exports (BoP, current US$)",World Data Bank
BX.GSR.CCIS.ZS,489,,"ICT service exports (% of service exports, BoP)",World Data Bank
BX.GSR.CMCP.ZS,490,,"Communications, computer, etc. (% of service exports, BoP)",World Data Bank
BX.GSR.FCTY.CD,491,,"Primary income receipts (BoP, current US$)",World Data Bank
BX.GSR.GNFS.CD,492,,"Exports of goods and services (BoP, current US$)",World Data Bank
BX.GSR.INSF.ZS,493,,"Insurance and financial services (% of service exports, BoP)",World Data Bank
BX.GSR.MRCH.CD,494,,"Goods exports (BoP, current US$)",World Data Bank
BX.GSR.NFSV.CD,495,,"Service exports (BoP, current US$)",World Data Bank
BX.GSR.ROYL.CD,496,,"Charges for the use of intellectual property, receipts (BoP, current US$)",World Data Bank
BX.GSR.TOTL.CD,497,,"Exports of goods, services and primary income (BoP, current US$)",World Data Bank
BX.GSR.TRAN.ZS,498,,"Transport services (% of service exports, BoP)",World Data Bank
BX.GSR.TRVL.ZS,499,,"Travel services (% of service exports, BoP)",World Data Bank
BX.KLT.DINV.CD.WD,500,,"Foreign direct investment, net inflows (BoP, current US$)",World Data Bank
BX.KLT.DINV.WD.GD.ZS,501,,"Foreign direct investment, net inflows (% of GDP)",World Data Bank
BX.PEF.TOTL.CD.WD,502,,"Portfolio equity, net inflows (BoP, current US$)",World Data Bank
BX.TRF.CURR.CD,503,,"Secondary income receipts (BoP, current US$)",World Data Bank
BX.TRF.PWKR.CD,504,,"Personal transfers, receipts (BoP, current US$)",World Data Bank
BX.TRF.PWKR.CD.DT,505,,"Personal remittances, received (current US$)",World Data Bank
BX.TRF.PWKR.DT.GD.ZS,506,,"Personal remittances, received (% of GDP)",World Data Bank
cens.01naagchi,507,,"Female population aged 15 and over by household composition, age group, age of the youngest child and current activity status. Only wstatus = POP",Eurostat
cens.01nactz,508,,"Population by sex, citizenship and current activity status. Only wstatus = POP",Eurostat
cens.01nadnac,509,,"Employed persons aged 15 and over by sex, age group and economic activity (NACE Rev. 1)",Eurostat
cens.01naisco,510,,"Employed persons aged 15 and over by sex, age group, citizenship and occupation (ISCO-88)",Eurostat
cens.01nanac,511,,"Employed persons aged 15 and over by sex, age group, citizenship and economic activity (NACE Rev.1)",Eurostat
cens.01napop,512,,"Population by sex, age and current activity status. Only wstatus = POP",Eurostat
cens.01nawtime,513,,"Employed persons aged 15 and over by sex, economic activity (NACE Rev. 1) and time usually worked",Eurostat
cens.01ndbuild,514,,"Dwellings by type of ownership, type of building and occupancy status",Eurostat
cens.01ndhh,515,,Private housholds by composition and type of housing,Eurostat
cens.01ndpercons,516,,Owner-occupied dwellings by type and year of construction of the building,Eurostat
cens.01ndquart.hd,517,,Private households by type of housing,Eurostat
cens.01ndquart.lq,518,,Living quarters by type of housing,Eurostat
cens.01neisco,519,,"Population aged 15-74 by sex, age group, educational attainment level and occupation (ISCO 1988)",Eurostat
cens.01news,520,,"Population aged 15-74 by sex, age group, current activity status and educational attainment level. Only wstatus = POP",Eurostat
cens.01nhctzcomp,521,,Private households by composition and citizenship,Eurostat
cens.01nhfst,522,,"Population aged 15 and over, living in private households, by sex, age group, family status and current activity status. Only wstatus = POP",Eurostat
cens.01nhfstctz,523,,"Population by sex, citizenship, family status and type of housing",Eurostat
cens.01nhsize,524,,"Population in private households by sex, age group, citizenship and size of household",Eurostat
cens.01nhtype,525,,"Population by sex, age and household status",Eurostat
cens.01nscbirth,526,,"Population by sex, age group and country of birth",Eurostat
cens.01nsctz,527,,"Population by sex, age group and country of citizenship",Eurostat
cens.11cob.n,528,,Population by country of birth at national level,Eurostat
cens.11ctz.n,529,,Population by country of citizenship at national level,Eurostat
cens.hnaisco,530,,Employed population by sex and occupation,Eurostat
cens.hncas,531,,"Population by sex, age and current activity status. Only wstatus = POP",Eurostat
cens.hnctz,532,,"Population by sex, age and citizenship",Eurostat
cens.hndwnr,533,,Occupied conventional dwellings by number of rooms,Eurostat
cens.hnelev,534,,"Population by sex, age and educational attainment level",Eurostat
cens.hnmga,535,,Population by sex and age,Eurostat
CM.MKT.INDX.ZG,536,,S&P Global Equity Indices (annual % change),World Data Bank
CM.MKT.LCAP.CD,537,,Market capitalization of listed domestic companies (current US$),World Data Bank
CM.MKT.LCAP.GD.ZS,538,,Market capitalization of listed domestic companies (% of GDP),World Data Bank
CM.MKT.LDOM.NO,539,,"Listed domestic companies, total",World Data Bank
CM.MKT.TRAD.CD,540,,"Stocks traded, total value (current US$)",World Data Bank
CM.MKT.TRAD.GD.ZS,541,,"Stocks traded, total value (% of GDP)",World Data Bank
CM.MKT.TRNR,542,,"Stocks traded, turnover ratio of domestic shares (%)",World Data Bank
crim.hist,543,,Crimes recorded by the police (1950-2000),Eurostat
crim.hom.vrel,544,,Intentional homicide victims by victim-offender relationship and sex - number and rate for the relevant sex group,Eurostat
crim.pris.ctz,545,,Prisoners by citizenship,Eurostat
cult.emp.art,546,,"Persons working as creative and performing artists, authors, journalists and linguists",Eurostat
cult.pcs.hbs,547,,Mean consumption expenditure of private households on cultural goods and services by COICOP consumption purpose,Eurostat
